Date,Ticker,Close,Volume
2019-01-02,GLD,121.33000183105469,12776200
2019-01-03,GLD,122.43000030517578,15440800
2019-01-04,GLD,121.44000244140625,13334000
2019-01-07,GLD,121.86000061035156,7473600
2019-01-08,GLD,121.52999877929688,7643100
2019-01-09,GLD,122.30999755859375,10555900
2019-01-10,GLD,121.58999633789062,6672000
2019-01-11,GLD,121.80000305175781,8622400
2019-01-14,GLD,122.08999633789062,6477100
2019-01-15,GLD,121.87999725341797,7512500
2019-01-16,GLD,122.2699966430664,6878100
2019-01-17,GLD,122.11000061035156,8558500
2019-01-18,GLD,121.0199966430664,10896000
2019-01-22,GLD,121.44999694824219,7896500
2019-01-23,GLD,121.27999877929688,5224900
2019-01-24,GLD,121.08999633789062,5662500
2019-01-25,GLD,122.86000061035156,11103300
2019-01-28,GLD,123.29000091552734,8522200
2019-01-29,GLD,123.9800033569336,11610200
2019-01-30,GLD,124.69000244140625,12104000
2019-01-31,GLD,124.75,10209500
2019-02-01,GLD,124.5,12485500
2019-02-04,GLD,123.95999908447266,6878900
2019-02-05,GLD,124.27999877929688,6291100
2019-02-06,GLD,123.44000244140625,6595100
2019-02-07,GLD,123.73999786376953,5935500
2019-02-08,GLD,124.20999908447266,4235200
2019-02-11,GLD,123.5999984741211,4821800
2019-02-12,GLD,123.86000061035156,4271900
2019-02-13,GLD,123.37000274658203,7640500
2019-02-14,GLD,124.05999755859375,6276500
2019-02-15,GLD,124.80000305175781,12190100
2019-02-19,GLD,126.69999694824219,15614000
2019-02-20,GLD,126.4800033569336,8889700
2019-02-21,GLD,125.05000305175781,8634600
2019-02-22,GLD,125.5,5439400
2019-02-25,GLD,125.37000274658203,4882600
2019-02-26,GLD,125.58000183105469,5153200
2019-02-27,GLD,124.69000244140625,7935600
2019-02-28,GLD,123.98999786376953,7811700
2019-03-01,GLD,121.87999725341797,16411700
2019-03-04,GLD,121.55999755859375,10272600
2019-03-05,GLD,121.72000122070312,7120100
2019-03-06,GLD,121.61000061035156,4820400
2019-03-07,GLD,121.51000213623047,6088800
2019-03-08,GLD,122.83999633789062,10427700
2019-03-11,GLD,122.23999786376953,6708700
2019-03-12,GLD,122.9800033569336,6289900
2019-03-13,GLD,123.83999633789062,7377300
2019-03-14,GLD,122.41000366210938,6778200
2019-03-15,GLD,122.97000122070312,9412000
2019-03-18,GLD,123.04000091552734,7783200
2019-03-19,GLD,123.37999725341797,6558700
2019-03-20,GLD,124.18000030517578,11304900
2019-03-21,GLD,123.68000030517578,7739800
2019-03-22,GLD,123.97000122070312,5874000
2019-03-25,GLD,124.91999816894531,7288300
2019-03-26,GLD,124.30000305175781,5056100
2019-03-27,GLD,123.6500015258789,6595000
2019-03-28,GLD,121.9000015258789,11878300
2019-03-29,GLD,122.01000213623047,7093900
2019-04-01,GLD,121.52999877929688,13560000
2019-04-02,GLD,121.9800033569336,4475000
2019-04-03,GLD,121.80000305175781,6152200
2019-04-04,GLD,122.11000061035156,7508400
2019-04-05,GLD,121.9800033569336,5114500
2019-04-08,GLD,122.51000213623047,4270800
2019-04-09,GLD,123.1500015258789,4648400
2019-04-10,GLD,123.52999877929688,6344800
2019-04-11,GLD,121.94999694824219,11694500
2019-04-12,GLD,121.83000183105469,5272800
2019-04-15,GLD,121.5999984741211,4252400
2019-04-16,GLD,120.51000213623047,10097800
2019-04-17,GLD,120.27999877929688,4693900
2019-04-18,GLD,120.37000274658203,4090400
2019-04-22,GLD,120.37000274658203,2250900
2019-04-23,GLD,120.12000274658203,5574800
2019-04-24,GLD,120.47000122070312,4173000
2019-04-25,GLD,120.56999969482422,4836900
2019-04-26,GLD,121.37000274658203,6022700
2019-04-29,GLD,120.83000183105469,4469300
2019-04-30,GLD,121.19999694824219,4758600
2019-05-01,GLD,120.4000015258789,12331800
2019-05-02,GLD,119.94000244140625,6759600
2019-05-03,GLD,120.6500015258789,8414400
2019-05-06,GLD,120.80999755859375,3479600
2019-05-07,GLD,121.20999908447266,4010700
2019-05-08,GLD,120.91000366210938,4178800
2019-05-09,GLD,121.19999694824219,5015500
2019-05-10,GLD,121.43000030517578,4586000
2019-05-13,GLD,122.66999816894531,11130900
2019-05-14,GLD,122.45999908447266,5556000
2019-05-15,GLD,122.38999938964844,10299000
2019-05-16,GLD,121.51000213623047,6349400
2019-05-17,GLD,120.6500015258789,6589300
2019-05-20,GLD,120.63999938964844,4345800
2019-05-21,GLD,120.36000061035156,3845600
2019-05-22,GLD,120.23999786376953,3741800
2019-05-23,GLD,121.16999816894531,6054600
2019-05-24,GLD,121.30000305175781,2324700
2019-05-28,GLD,120.83000183105469,4303500
2019-05-29,GLD,120.87000274658203,4133200
2019-05-30,GLD,121.69000244140625,7757000
2019-05-31,GLD,123.33000183105469,15367000
2019-06-03,GLD,125.11000061035156,14173600
2019-06-04,GLD,125.1500015258789,7997100
2019-06-05,GLD,125.47000122070312,7637900
2019-06-06,GLD,125.87999725341797,5551800
2019-06-07,GLD,126.58999633789062,8145900
2019-06-10,GLD,125.33000183105469,5410000
2019-06-11,GLD,125.18000030517578,4757800
2019-06-12,GLD,125.83000183105469,5756200
2019-06-13,GLD,126.5999984741211,5374800
2019-06-14,GLD,126.55999755859375,9226100
2019-06-17,GLD,126.4800033569336,4763300
2019-06-18,GLD,127.12000274658203,10309600
2019-06-19,GLD,127.88999938964844,11660600
2019-06-20,GLD,131.11000061035156,18636300
2019-06-21,GLD,131.97999572753906,15068000
2019-06-24,GLD,133.94000244140625,17851800
2019-06-25,GLD,134.1999969482422,24772200
2019-06-26,GLD,132.97000122070312,12016400
2019-06-27,GLD,132.83999633789062,8412800
2019-06-28,GLD,133.1999969482422,8077000
2019-07-01,GLD,130.6199951171875,13317700
2019-07-02,GLD,133.41000366210938,13282100
2019-07-03,GLD,133.6300048828125,6351500
2019-07-05,GLD,132.13999938964844,11536600
2019-07-08,GLD,131.2899932861328,8028900
2019-07-09,GLD,131.75,6633400
2019-07-10,GLD,133.8300018310547,13920600
2019-07-11,GLD,132.6999969482422,7535100
2019-07-12,GLD,133.52999877929688,6309500
2019-07-15,GLD,133.52999877929688,4026600
2019-07-16,GLD,132.39999389648438,7966000
2019-07-17,GLD,134.5800018310547,11288300
2019-07-18,GLD,136.47999572753906,18448200
2019-07-19,GLD,134.47000122070312,18079200
2019-07-22,GLD,134.4499969482422,7570400
2019-07-23,GLD,133.69000244140625,9981400
2019-07-24,GLD,134.3699951171875,6715200
2019-07-25,GLD,133.4199981689453,11708200
2019-07-26,GLD,133.63999938964844,6249900
2019-07-29,GLD,134.52999877929688,9162400
2019-07-30,GLD,134.97999572753906,9458700
2019-07-31,GLD,133.2100067138672,18797200
2019-08-01,GLD,136.41000366210938,27719800
2019-08-02,GLD,135.88999938964844,13753200
2019-08-05,GLD,137.7899932861328,17519800
2019-08-06,GLD,138.91000366210938,9471200
2019-08-07,GLD,141.02000427246094,26671100
2019-08-08,GLD,141.72999572753906,13108600
2019-08-09,GLD,141.25999450683594,9485900
2019-08-12,GLD,142.6300048828125,15264000
2019-08-13,GLD,141.77999877929688,29842800
2019-08-14,GLD,142.75,20672900
2019-08-15,GLD,143.6999969482422,13467800
2019-08-16,GLD,142.77999877929688,11728800
2019-08-19,GLD,141.11000061035156,10552700
2019-08-20,GLD,142.2100067138672,7478500
2019-08-21,GLD,141.75999450683594,8114700
2019-08-22,GLD,141.39999389648438,6846500
2019-08-23,GLD,144.1699981689453,20282200
2019-08-26,GLD,144.19000244140625,12195800
2019-08-27,GLD,145.57000732421875,12844100
2019-08-28,GLD,145.16000366210938,11452400
2019-08-29,GLD,144.1199951171875,14762500
2019-08-30,GLD,143.75,9642200
2019-09-03,GLD,145.75,15615200
2019-09-04,GLD,146.66000366210938,11285900
2019-09-05,GLD,143.13999938964844,20293200
2019-09-06,GLD,141.9199981689453,14175200
2019-09-09,GLD,141.38999938964844,11323800
2019-09-10,GLD,140.17999267578125,12629200
2019-09-11,GLD,141.02999877929688,7453000
2019-09-12,GLD,141.32000732421875,12673700
2019-09-13,GLD,140.14999389648438,13451700
2019-09-16,GLD,141.32000732421875,8094600
2019-09-17,GLD,141.60000610351562,7010200
2019-09-18,GLD,140.7100067138672,15026300
2019-09-19,GLD,141.27999877929688,8057400
2019-09-20,GLD,142.9499969482422,12110000
2019-09-23,GLD,143.75,9006500
2019-09-24,GLD,144.50999450683594,10576300
2019-09-25,GLD,141.8300018310547,11648400
2019-09-26,GLD,141.7899932861328,7984600
2019-09-27,GLD,141.05999755859375,9804200
2019-09-30,GLD,138.8699951171875,15459100
2019-10-01,GLD,139.6300048828125,12476200
2019-10-02,GLD,141.25999450683594,11914300
2019-10-03,GLD,141.89999389648438,12396100
2019-10-04,GLD,141.89999389648438,9651000
2019-10-07,GLD,140.69000244140625,6127200
2019-10-08,GLD,141.9199981689453,10428900
2019-10-09,GLD,142.0500030517578,6927700
2019-10-10,GLD,140.80999755859375,9301700
2019-10-11,GLD,140.02999877929688,11333400
2019-10-14,GLD,140.58999633789062,4006700
2019-10-15,GLD,139.61000061035156,9128300
2019-10-16,GLD,140.41000366210938,10330300
