Date,Ticker,Close,Volume
2019-01-02,COST,184.86178588867188,2143100
2019-01-03,COST,180.94351196289062,2877700
2019-01-04,COST,186.1979522705078,2761600
2019-01-07,COST,186.88414001464844,2226600
2019-01-08,COST,188.28347778320312,2366500
2019-01-09,COST,189.5023193359375,1862900
2019-01-10,COST,190.17037963867188,2340700
2019-01-11,COST,190.05300903320312,1861100
2019-01-14,COST,188.6897430419922,1523100
2019-01-15,COST,190.52249145507812,1681900
2019-01-16,COST,189.75506591796875,1455000
2019-01-17,COST,190.9106903076172,1517100
2019-01-18,COST,192.833740234375,2115400
2019-01-22,COST,191.75930786132812,3310800
2019-01-23,COST,191.4794921875,2220200
2019-01-24,COST,189.87245178222656,1994400
2019-01-25,COST,188.75294494628906,2252300
2019-01-28,COST,190.28773498535156,1999400
2019-01-29,COST,189.87245178222656,1636500
2019-01-30,COST,190.81141662597656,1589800
2019-01-31,COST,193.7726287841797,4341100
2019-02-01,COST,189.83631896972656,3453700
2019-02-04,COST,190.65792846679688,1630300
2019-02-05,COST,191.04611206054688,2074500
2019-02-06,COST,191.03712463378906,1618800
2019-02-07,COST,189.24473571777344,2526600
2019-02-08,COST,188.06781005859375,2013700
2019-02-11,COST,188.94595336914062,2376600
2019-02-12,COST,191.82464599609375,2091200
2019-02-13,COST,192.63943481445312,1703000
2019-02-14,COST,193.58090209960938,1411100
2019-02-15,COST,195.961669921875,2635500
2019-02-19,COST,197.4553985595703,1938100
2019-02-20,COST,196.5410919189453,1785600
2019-02-21,COST,194.83917236328125,1615300
2019-02-22,COST,195.7987823486328,1542500
2019-02-25,COST,196.48675537109375,1794000
2019-02-26,COST,196.99374389648438,1884100
2019-02-27,COST,197.39205932617188,1482700
2019-02-28,COST,198.0166778564453,2055600
2019-03-01,COST,198.65036010742188,2178200
2019-03-04,COST,197.71792602539062,2444700
2019-03-05,COST,198.9943389892578,2160200
2019-03-06,COST,198.46023559570312,1985300
2019-03-07,COST,196.2513427734375,3279100
2019-03-08,COST,206.23643493652344,6782700
2019-03-11,COST,207.92921447753906,3748400
2019-03-12,COST,210.88943481445312,2647100
2019-03-13,COST,213.98541259765625,2421200
2019-03-14,COST,211.68609619140625,2300300
2019-03-15,COST,211.4687957763672,5075400
2019-03-18,COST,214.17556762695312,1735400
2019-03-19,COST,214.5919952392578,1852300
2019-03-20,COST,214.5286102294922,1499500
2019-03-21,COST,216.8460693359375,1617000
2019-03-22,COST,215.0536346435547,1873600
2019-03-25,COST,214.51951599121094,1357100
2019-03-26,COST,216.4206085205078,1193000
2019-03-27,COST,216.72837829589844,1351200
2019-03-28,COST,218.36688232421875,1396700
2019-03-29,COST,219.19973754882812,1968000
2019-04-01,COST,221.05551147460938,1610200
2019-04-02,COST,217.71511840820312,1574300
2019-04-03,COST,219.50755310058594,1663600
2019-04-04,COST,221.24562072753906,1319700
2019-04-05,COST,222.57635498046875,1616200
2019-04-08,COST,223.16481018066406,1244200
2019-04-09,COST,221.707275390625,1450200
2019-04-10,COST,222.3409881591797,1556600
2019-04-11,COST,218.38504028320312,2719800
2019-04-12,COST,219.0277099609375,2187600
2019-04-15,COST,222.9927520751953,1859700
2019-04-16,COST,222.09654235839844,1360500
2019-04-17,COST,222.2957305908203,1363000
2019-04-18,COST,222.52206420898438,1365000
2019-04-22,COST,220.3584747314453,1300000
2019-04-23,COST,222.31385803222656,1524600
2019-04-24,COST,224.4683074951172,1156400
