Date,Ticker,Close,Volume
2019-01-02,WMT,27.913772583007812,24458100
2019-01-03,WMT,27.77022933959961,24831900
2019-01-04,WMT,27.94368553161621,24087300
2019-01-07,WMT,28.27263832092285,23369100
2019-01-08,WMT,28.47001838684082,21602700
2019-01-09,WMT,28.3773136138916,18816900
2019-01-10,WMT,28.39824104309082,28188900
2019-01-11,WMT,28.36236000061035,16183800
2019-01-14,WMT,28.3952579498291,21255300
2019-01-15,WMT,28.78402328491211,21174600
2019-01-16,WMT,28.81393814086914,16230000
2019-01-17,WMT,28.930566787719727,16843500
2019-01-18,WMT,29.22663116455078,18361800
2019-01-22,WMT,29.15485382080078,24189600
2019-01-23,WMT,29.51969337463379,25037400
2019-01-24,WMT,29.41503143310547,22829100
2019-01-25,WMT,28.99036979675293,21654600
2019-01-28,WMT,29.026264190673828,17627400
2019-01-29,WMT,28.921588897705078,15760200
2019-01-30,WMT,28.350393295288086,35547900
2019-01-31,WMT,28.658424377441406,44169000
2019-02-01,WMT,28.069290161132812,37775700
2019-02-04,WMT,28.3414249420166,21805800
2019-02-05,WMT,28.589643478393555,18299700
2019-02-06,WMT,28.601606369018555,12794700
2019-02-07,WMT,28.927570343017578,21030300
2019-02-08,WMT,28.583660125732422,18507600
2019-02-11,WMT,28.769075393676758,16628400
2019-02-12,WMT,28.999345779418945,17643900
2019-02-13,WMT,29.2894287109375,16375500
2019-02-14,WMT,29.46288299560547,21602400
2019-02-15,WMT,29.902496337890625,28443000
2019-02-19,WMT,30.56340217590332,62091900
2019-02-20,WMT,29.869592666625977,52895400
2019-02-21,WMT,29.723064422607422,19239600
2019-02-22,WMT,29.770904541015625,24260700
2019-02-25,WMT,29.642314910888672,27705000
2019-02-26,WMT,29.513717651367188,25464300
2019-02-27,WMT,29.34026527404785,23706900
2019-02-28,WMT,29.603439331054688,34127700
2019-03-01,WMT,29.286439895629883,31057500
2019-03-04,WMT,29.26251220703125,23051400
2019-03-05,WMT,29.40904998779297,18357900
2019-03-06,WMT,29.385129928588867,14089800
2019-03-07,WMT,29.142894744873047,18379800
2019-03-08,WMT,29.184755325317383,16977000
2019-03-11,WMT,29.450927734375,16035900
2019-03-12,WMT,29.418025970458984,15211500
2019-03-13,WMT,29.615402221679688,16446900
2019-03-14,WMT,29.531211853027344,14777400
2019-03-15,WMT,29.591352462768555,43800000
2019-03-18,WMT,29.964170455932617,17310300
2019-03-19,WMT,30.02128791809082,16243200
2019-03-20,WMT,29.657493591308594,18969300
2019-03-21,WMT,29.78377914428711,19653000
2019-03-22,WMT,29.549257278442383,20124300
2019-03-25,WMT,29.51618003845215,16222200
2019-03-26,WMT,29.561275482177734,14837700
2019-03-27,WMT,29.227540969848633,25413600
2019-03-28,WMT,29.203487396240234,24162900
2019-03-29,WMT,29.323747634887695,22319700
2019-04-01,WMT,29.410940170288086,25517400
2019-04-02,WMT,29.1463565826416,18822000
2019-04-03,WMT,29.22153091430664,17062500
2019-04-04,WMT,29.498140335083008,12078900
2019-04-05,WMT,29.714624404907227,13968000
2019-04-08,WMT,29.83488655090332,16267200
2019-04-09,WMT,29.672523498535156,13102500
2019-04-10,WMT,29.94613265991211,12273300
2019-04-11,WMT,30.306921005249023,16820700
2019-04-12,WMT,30.53542137145996,15486000
2019-04-15,WMT,30.7970027923584,15335700
2019-04-16,WMT,30.94734001159668,14485200
2019-04-17,WMT,31.01649284362793,11187600
2019-04-18,WMT,31.022506713867188,11183400
2019-04-22,WMT,30.778974533081055,15238200
2019-04-23,WMT,30.98943328857422,15152400
